2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:14 | WARNING | crypto-signal-bot | [NKN/USDT] Support/Resistance too close to current price
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Support/Resistance calculated: Last support=0.04, resistance=0.04
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Features prepared: {'rsi': 33.33333333333333, 'macd': -0.0005725271003626242, 'macd_signal': -0.0004398686277904334, 'bb_upper': 0.04385721351057882, 'bb_lower': 0.03879278648942118, 'atr': 0.001185714285714286, 'volume': 1291949.0, 'volume_sma_20': 3901649.7}
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Prediction for 1h: LONG, Confidence: 59.86%
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Low confidence: 59.86%
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] No signal for 1h
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Starting analysis on 4h
2025-05-12 23:41:14 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Support/Resistance calculated: Last support=0.04, resistance=0.04
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Features prepared: {'rsi': 48.85496183206106, 'macd': 0.0004068961520953124, 'macd_signal': 0.0007474033056526286, 'bb_upper': 0.04343371491603097, 'bb_lower': 0.03937628508396902, 'atr': 0.0022142857142857133, 'volume': 6206303.0, 'volume_sma_20': 14563719.6}
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Prediction for 4h: LONG, Confidence: 59.86%
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Low confidence: 59.86%
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] No signal for 4h
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Starting analysis on 1d
2025-05-12 23:41:14 | INFO | crypto-signal-bot | Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Indicators calculated: RSI, MACD, ATR, Volume, Bollinger Bands, Volume SMA 20
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Support/Resistance calculated: Last support=0.04, resistance=0.05
2025-05-12 23:41:14 | INFO | crypto-signal-bot | [NKN/USDT] Features prepared: {'rsi': 53.887399463806965, 'macd': 0.0021800790149349644, 'macd_signal': 0.0018518029801302992, 'bb_upper': 0.04476387057215022, 'bb_lower': 0.032636129427849776, 'atr': 0.0055785714285714275, 'volume': 102606980.0, 'volume_sma_20': 170105539.6}
